file,action,doc_type,product,asset_type,manufacturer,title,pages,confidence,source,notes
120RCS_BM.pdf,leave,(no text),120RCS BM,document,,120Rcs Bm,1,0.0,fallback,no extractable text — review (may need OCR)
120RCS_bpitu.pdf,leave,(no text),120RCS bpitu,document,,120Rcs Bpitu,1,0.0,fallback,no extractable text — review (may need OCR)
120SM_BM.pdf,leave,(no text),120SM BM,document,,120Sm Bm,1,0.0,fallback,no extractable text — review (may need OCR)
120SM_bpitu.pdf,leave,(no text),120SM bpitu,document,,120Sm Bpitu,1,0.0,fallback,no extractable text — review (may need OCR)
1250-5.pdf,leave,(no text),1250 5,document,,1250 5,1,0.0,fallback,no extractable text — review (may need OCR)
140052-cut-sheet_1.pdf,leave,drawing,140052,drawing,,Drawing,1,0.0,llm,
140053A-Technical-Drawing-and-Specs.pdf,leave,drawing,140053,drawing,,Elevation Drawing,1,0.5,llm,
140054A-Technical-Drawing-and-Specs.pdf,leave,drawing,140054,drawing,,Drawing No. WEB-1932,1,0.0,llm,
140054DA-Technical-Drawing-and-Specs.pdf,leave,drawing,140054D,drawing,,1400 Series Mailbox Elevation,1,1.0,llm,
140054PLA-Technical-Drawing-and-Specs.pdf,leave,drawing,140054PL,drawing,,1400 Series Mailbox Elevation,1,0.0,llm,
140055A-Technical-Drawing-and-Specs.pdf,leave,drawing,140055,drawing,,1400 Series Mailbox Elevation,1,1.0,llm,
140055OUA-Technical-Drawing-and-Specs.pdf,leave,drawing,140055OU,drawing,,140055OU Side View Configuration Details,1,0.5,llm,
140055PLA-Technical-Drawing-and-Specs.pdf,leave,drawing,140055PL,drawing,,Elevation Drawing,1,0.5,llm,
140063A-Technical-Drawing-and-Specs.pdf,leave,drawing,140063,drawing,,Elevation Drawing,1,0.0,llm,
140064A-Technical-Drawing-and-Specs.pdf,leave,drawing,140064,drawing,,Elevation Drawing,1,0.0,llm,
140064DA-Technical-Drawing-and-Specs.pdf,leave,drawing,140064D,drawing,,1400 Series Mailbox Elevation,1,0.0,llm,
140064PLA-Technical-Drawing-and-Specs.pdf,leave,drawing,140064PL,drawing,,Elevation Drawing,1,0.5,llm,
